"term","estimate","std.error","statistic","p.value","Group","Measure","Disease"
"post:treat_group",-9625.75669703326,8.6227580984719e-12,-1116319927696813,1.89135361451346e-132,"Late","Prevalence","Substance use disorders"
"post:treat_group",-199.575771359915,5.17703527136941e-13,-385502050688412,2.70788737594833e-128,"Late","DALYs (Disability-Adjusted Life Years)","Alzheimer's disease and other dementias"
"post:treat_group",-6537.04730497625,2.0955787626327e-11,-311944720071685,1.82042201215195e-127,"Late","Prevalence","Chronic kidney disease"
"post:treat_group",-13.2249584225464,4.46033086229728e-14,-296501735652294,2.87491938742729e-127,"Late","Deaths","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-31.8982991014901,1.16645597582715e-13,-273463377637296,5.95358102876693e-127,"Late","Deaths","Drug use disorders"
"post:treat_group",-18458.0061804269,7.33760373202066e-11,-251553597803023,1.2623972306233e-126,"Late","Prevalence","Diabetes and kidney diseases"
"post:treat_group",-396.308748105497,1.93372068217463e-12,-204946221943396,7.98199736932875e-126,"Late","Prevalence","Alzheimer's disease and other dementias"
"post:treat_group",-6825.66850681994,3.38060131175005e-11,-201906935405124,9.13081825172354e-126,"Late","Prevalence","Drug use disorders"
"post:treat_group",-37.8877504776307,2.3067095483392e-13,-164250200051885,5.852179878822e-125,"Late","Deaths","Diabetes and kidney diseases"
"post:treat_group",-11.9313228218696,8.55495354855253e-14,-139466833503594,2.55054132955259e-124,"Late","Deaths","Alzheimer's disease and other dementias"
"post:treat_group",-3018.43601502879,2.18257621244782e-11,-138296935420346,2.7514259105976e-124,"Late","Prevalence","Alcohol use disorders"
"post:treat_group",-39.6339132722636,3.11805252412457e-13,-127111114920655,5.87785785147091e-124,"Late","Deaths","Substance use disorders"
"post:treat_group",-318.678536206319,2.85734026247232e-12,-111529781871544,1.90701081484567e-123,"Late","Prevalence","Chronic kidney disease due to hypertension"
"post:treat_group",-7.73561417077375,8.92322949426308e-14,-86690745494634.3,1.84126455225558e-122,"Late","Deaths","Alcohol use disorders"
"post:treat_group",-2664.70692986487,3.4949863870116e-11,-76243699825776.3,5.84837437604971e-122,"Late","DALYs (Disability-Adjusted Life Years)","Opioid use disorders"
"post:treat_group",-985.232155850843,1.34432312933368e-11,-73288343728726.7,8.34750462116107e-122,"Late","Prevalence","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-3865.1427168718,6.06408833744927e-11,-63738232390222.5,2.93272062559005e-121,"Late","Prevalence","Opioid use disorders"
"post:treat_group",-3298.42604853776,5.32199619036637e-11,-61977234303707.7,3.77381930184401e-121,"Late","DALYs (Disability-Adjusted Life Years)","Drug use disorders"
"post:treat_group",-23.0759230086836,3.73572723584935e-13,-61770899082885.2,3.88879928283553e-121,"Late","Deaths","Opioid use disorders"
"post:treat_group",-353.383896627995,6.20269625590529e-12,-56972626427024.3,8.05146045125786e-121,"Late","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-9.6268956735128,1.72869379906512e-13,-55688842516349.9,9.88455472354028e-121,"Late","Deaths","Chronic kidney disease due to hypertension"
"post:treat_group",-3897.1246267478,7.0351183303112e-11,-55395296052901.2,1.03660868132253e-120,"Late","DALYs (Disability-Adjusted Life Years)","Substance use disorders"
"post:treat_group",-598.698578210044,1.12763698894203e-11,-53093201454109.4,1.51887001802859e-120,"Late","DALYs (Disability-Adjusted Life Years)","Alcohol use disorders"
"post:treat_group",-2411.0668412642,4.70449046704096e-11,-51250328981551,2.08737709506678e-120,"Late","DALYs (Disability-Adjusted Life Years)","Diabetes and kidney diseases"
"post:treat_group",-22.839171753717,4.88766375075491e-13,-46728197597859.4,4.79357540958737e-120,"Late","Deaths","Chronic kidney disease"
"post:treat_group",-914.07724235124,1.96038793696494e-11,-46627365181934.8,4.88768215306156e-120,"Late","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease"
"post:treat_group",-274.093990905435,6.67115155412899e-12,-41086458414483.1,1.52609814582905e-119,"Late","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to hypertension"
