"term","estimate","std.error","statistic","p.value","Group","Measure","Disease"
"post:treat_group",-466.14835942678,26.991829285808,-17.2699802777678,3.29924143149561e-08,"Mid","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to hypertension"
"post:treat_group",-15.5623942850233,0.970299959905766,-16.0387456746207,6.29833651436533e-08,"Mid","Deaths","Chronic kidney disease due to hypertension"
"post:treat_group",-470.120177649584,45.001014669016,-10.4468795005476,2.48387012315053e-06,"Mid","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-1313.40131975678,126.047778346835,-10.4198688543546,2.53830961746284e-06,"Mid","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease"
"post:treat_group",-16.4853663100336,1.65120445915273,-9.98384313865811,3.62671736484491e-06,"Mid","Deaths","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-30.6064594234453,3.07190150433878,-9.963359626022,3.68922341189047e-06,"Mid","Deaths","Chronic kidney disease"
"post:treat_group",-52.6920409470392,6.19326679452262,-8.50795592943622,1.34915359494634e-05,"Mid","Deaths","Diabetes and kidney diseases"
"post:treat_group",-5639.59005184348,670.51338704841,-8.41085377380588,1.48034586243637e-05,"Mid","Prevalence","Alcohol use disorders"
"post:treat_group",-572.837610599333,68.8857191828234,-8.31576729392948,1.62251639509348e-05,"Mid","Prevalence","Chronic kidney disease due to hypertension"
"post:treat_group",-3740.6186644917,459.402001991336,-8.14236474433617,1.92200206178961e-05,"Mid","DALYs (Disability-Adjusted Life Years)","Diabetes and kidney diseases"
"post:treat_group",-947.079437493243,124.549096896963,-7.60406507224007,3.31265282837195e-05,"Mid","DALYs (Disability-Adjusted Life Years)","Alcohol use disorders"
"post:treat_group",-11409.9025477381,1664.962765838,-6.85294757447341,7.44869533555967e-05,"Mid","Prevalence","Substance use disorders"
"post:treat_group",-31913.1230755452,4707.65742416536,-6.77898160382884,8.09510883942915e-05,"Mid","Prevalence","Diabetes and kidney diseases"
"post:treat_group",-10.3204033202563,1.53385915295011,-6.72839047862171,8.5724323724933e-05,"Mid","Deaths","Alcohol use disorders"
"post:treat_group",-5965.44849204269,1029.67726885369,-5.79351285348259,0.000261592982338861,"Mid","Prevalence","Drug use disorders"
"post:treat_group",-11276.3144136228,2010.66477732648,-5.60825182834138,0.000330761763193634,"Mid","Prevalence","Chronic kidney disease"
"post:treat_group",-1751.66184163409,324.782449184589,-5.39333897515669,0.000436796626029214,"Mid","Prevalence","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-548.604307418215,102.012865421888,-5.37779529228384,0.00044578148074309,"Mid","Prevalence","Alzheimer's disease and other dementias"
"post:treat_group",-275.580607845645,51.883584039449,-5.31151833373944,0.000486398706353374,"Mid","DALYs (Disability-Adjusted Life Years)","Alzheimer's disease and other dementias"
"post:treat_group",-16.1835631804581,3.06136434185067,-5.28638913023819,0.000502830393403079,"Mid","Deaths","Alzheimer's disease and other dementias"
"post:treat_group",-2217.38775069737,601.38041368416,-3.68716323352348,0.00501940633978772,"Mid","Prevalence","Opioid use disorders"
"post:treat_group",-1819.11764905817,684.08717508737,-2.65918981572172,0.0260804018190275,"Mid","DALYs (Disability-Adjusted Life Years)","Substance use disorders"
