"term","estimate","std.error","statistic","p.value","Group","Measure","Disease"
"post:treat_group",206.621421360838,30.9371032159629,6.67875786296067,8.69581011937327e-08,"Early","DALYs (Disability-Adjusted Life Years)","Alcohol use disorders"
"post:treat_group",5.24689550048848,0.826871752697365,6.34547677239235,2.40629838450623e-07,"Early","Deaths","Alcohol use disorders"
"post:treat_group",3047.99970247229,589.914555171426,5.1668494627778,9.01491939135552e-06,"Early","DALYs (Disability-Adjusted Life Years)","Substance use disorders"
"post:treat_group",37.2026113294479,7.21631168112798,5.15534984814192,9.33840874902227e-06,"Early","Deaths","Substance use disorders"
"post:treat_group",2841.37828111145,561.95862824358,5.05620545411371,1.2651550417828e-05,"Early","DALYs (Disability-Adjusted Life Years)","Drug use disorders"
"post:treat_group",2479.34754656392,493.736023826817,5.02160552788341,1.406380453691e-05,"Early","DALYs (Disability-Adjusted Life Years)","Opioid use disorders"
"post:treat_group",3212.66142139786,646.555940511967,4.96888392805417,1.65220598199797e-05,"Early","Prevalence","Substance use disorders"
"post:treat_group",31.955715828959,6.47962244767084,4.93172497117418,1.85063430114191e-05,"Early","Deaths","Drug use disorders"
"post:treat_group",24.3502251979814,5.02552000432378,4.84531454994335,2.40810708191506e-05,"Early","Deaths","Opioid use disorders"
"post:treat_group",3158.27261674268,656.071785061467,4.81391318550116,2.64949050523066e-05,"Early","Prevalence","Drug use disorders"
"post:treat_group",3183.93814752828,671.622540353985,4.74066600839536,3.30960684129308e-05,"Early","Prevalence","Opioid use disorders"
"post:treat_group",6.34878466651053,1.4340165463417,4.42727434540895,8.5146233679958e-05,"Early","Deaths","Alzheimer's disease and other dementias"
"post:treat_group",120.703496586806,27.4374770186026,4.39921996125842,9.26036485789624e-05,"Early","Prevalence","Chronic kidney disease due to hypertension"
"post:treat_group",1034.28993536962,244.253800311131,4.23448861001198,0.000151235340446293,"Early","DALYs (Disability-Adjusted Life Years)","Diabetes and kidney diseases"
"post:treat_group",8465.76003093863,1999.79474720491,4.23331446528256,0.00015176255497215,"Early","Prevalence","Diabetes and kidney diseases"
"post:treat_group",97.1698497569952,23.5158237306594,4.13210486989266,0.000204661266589822,"Early","DALYs (Disability-Adjusted Life Years)","Alzheimer's disease and other dementias"
"post:treat_group",1994.30312739128,490.225204424841,4.06813666329356,0.000246994082200906,"Early","Prevalence","Chronic kidney disease"
"post:treat_group",326.434870312498,80.938841846795,4.03310527880285,0.000273685428590594,"Early","Prevalence","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",383.389141106359,95.1219059392676,4.03050314562811,0.000275776734425128,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease"
"post:treat_group",101.728656626363,25.5538607432487,3.98095057527616,0.000318709860918439,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to hypertension"
"post:treat_group",14.5216979974767,3.65179030208754,3.97659690075177,0.000322779236415808,"Early","Deaths","Diabetes and kidney diseases"
"post:treat_group",12.0060790217393,3.01934888837342,3.97638016195182,0.000322983139763315,"Early","Deaths","Chronic kidney disease"
"post:treat_group",4.14672202561048,1.04741699154305,3.95899823956604,0.00033975090043985,"Early","Deaths","Chronic kidney disease due to hypertension"
"post:treat_group",186.170715300085,50.3362627253622,3.69854067863251,0.000719245694578597,"Early","Prevalence","Alzheimer's disease and other dementias"
"post:treat_group",7.8658080462826,2.22831673162088,3.52993267728193,0.00115790579495349,"Early","Deaths","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",187.480432669324,53.5147464798502,3.50334150867958,0.00124728376912208,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",155.634337748008,57.2767625424448,2.71723349644064,0.010056404151625,"Early","Prevalence","Alcohol use disorders"
