"term","estimate","std.error","statistic","p.value","Group","Measure","Disease"
"post:treat_group",-480.975366011041,3.8970883705614,-123.419158170579,7.6450121382618e-16,"Early","Prevalence","Chronic kidney disease due to hypertension"
"post:treat_group",-1300.32283499017,14.5661393033736,-89.2702457327873,1.40768312033554e-14,"Early","Prevalence","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-2941.3804713319,43.9756120664808,-66.8866295001244,1.88471832672585e-13,"Early","Prevalence","Alcohol use disorders"
"post:treat_group",-218.503124108446,3.89800720888646,-56.0550846623154,9.209882160912e-13,"Early","DALYs (Disability-Adjusted Life Years)","Alzheimer's disease and other dementias"
"post:treat_group",-8177.86751087933,147.744596241534,-55.3513814983126,1.03158059223334e-12,"Early","Prevalence","Chronic kidney disease"
"post:treat_group",-13.9567546725988,0.255787257386692,-54.5639169643991,1.17316259521706e-12,"Early","Deaths","Alzheimer's disease and other dementias"
"post:treat_group",-377.943586157807,6.97547014580155,-54.1818082879025,1.24954186585879e-12,"Early","Prevalence","Alzheimer's disease and other dementias"
"post:treat_group",-465.003648172399,9.18640328481941,-50.6186843485111,2.30061186807201e-12,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-1377.8070029678,29.0912754182726,-47.3615193269383,4.17758992742044e-12,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease"
"post:treat_group",-3744.6707258855,86.675341904189,-43.2034145308,9.5205456948072e-12,"Early","DALYs (Disability-Adjusted Life Years)","Diabetes and kidney diseases"
"post:treat_group",-533.582593319361,12.6731159927187,-42.1035042704517,1.19952433979828e-11,"Early","DALYs (Disability-Adjusted Life Years)","Alcohol use disorders"
"post:treat_group",-26807.229285001,642.442885814837,-41.7270233306425,1.30003168128372e-11,"Early","Prevalence","Diabetes and kidney diseases"
"post:treat_group",-526.00842517275,13.3334691728693,-39.4502299703861,2.14872070431711e-11,"Early","DALYs (Disability-Adjusted Life Years)","Chronic kidney disease due to hypertension"
"post:treat_group",-58.36223561783,1.61167581152494,-36.2121434102859,4.62413009513516e-11,"Early","Deaths","Diabetes and kidney diseases"
"post:treat_group",-16.8002380593799,0.496552649751917,-33.8337496895314,8.48799499047137e-11,"Early","Deaths","Chronic kidney disease due to diabetes mellitus type 2"
"post:treat_group",-33.6242549170313,1.09206248964185,-30.7896802938984,1.96986166000647e-10,"Early","Deaths","Chronic kidney disease"
"post:treat_group",-18.1925062972488,0.638512923957365,-28.4919938417152,3.93346317389402e-10,"Early","Deaths","Chronic kidney disease due to hypertension"
"post:treat_group",-6.5326255947938,0.232317254761225,-28.1194162762813,4.4228711603019e-10,"Early","Deaths","Alcohol use disorders"
"post:treat_group",-7803.16216627147,287.848382320712,-27.1085843990515,6.12746574760324e-10,"Early","Prevalence","Substance use disorders"
"post:treat_group",-4984.0788753188,248.945070311483,-20.0207976365335,8.99666891771117e-09,"Early","Prevalence","Drug use disorders"
"post:treat_group",-2608.2351878316,147.050376068981,-17.7370181400154,2.61109641286629e-08,"Early","DALYs (Disability-Adjusted Life Years)","Substance use disorders"
"post:treat_group",-19.6312504760825,1.17858863627242,-16.6565753918782,4.52760167768922e-08,"Early","Deaths","Substance use disorders"
"post:treat_group",-2074.65259451227,134.822564475212,-15.3880220465152,9.03508795342866e-08,"Early","DALYs (Disability-Adjusted Life Years)","Drug use disorders"
"post:treat_group",-3142.28722329491,209.115731030937,-15.0265463425611,1.11090924422079e-07,"Early","Prevalence","Opioid use disorders"
"post:treat_group",-1798.35929492888,123.929724085091,-14.5111215909277,1.50377413528403e-07,"Early","DALYs (Disability-Adjusted Life Years)","Opioid use disorders"
"post:treat_group",-13.0986248812887,0.984675780799235,-13.3024749229202,3.18646904917378e-07,"Early","Deaths","Drug use disorders"
"post:treat_group",-10.6303024370784,0.821261752825208,-12.9438664354078,4.02993511927714e-07,"Early","Deaths","Opioid use disorders"
